"time"," Nmr"," Ntr"," N1"," N2"," N3"," Tmr"," Ttr"," T1"," T2"," T3"," TG"
0,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.048,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.096,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.144,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.192,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.24,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.288,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.336,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.384,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.432,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.48,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.528,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.576,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.624,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.672,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.72,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.768,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.816,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.864,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.912,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
0.96,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.008,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.056,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.104,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.152,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.2,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.248,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.296,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.344,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.392,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.44,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.488,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.536,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.584,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.632,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.68,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.728,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.776,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.824,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.872,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.92,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
1.968,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.016,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.064,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.112,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.16,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.208,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.256,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.304,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.352,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.4,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.448,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.496,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.544,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.592,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.64,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.688,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.736,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.784,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.832,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.88,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.928,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
2.976,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.024,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.072,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.12,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.168,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.216,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.264,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.312,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.36,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.408,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
3.456,14280,14280,14280,14280,14280,-73.7397,-6.90643,0.642447,0.555282,0.642447,0
