time, alt, vknot, gvw, dynang, n_mr, n_tr, nt, n1, n2, n3, qmr, qtr, q1, q2, q3, qgas1, qgas2,qgas3, qtotload, qmrload, qtrload
0.408, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.414, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.42, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.426, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.432, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.438, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.444, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.45, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.456, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.462, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.468, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.474, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.48, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.486, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.492, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.498, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.504, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.51, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.516, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
0.522, 3000, 0.01, 46000, 70, 14280, 14280, 14280, 14280, 14280,                      14280, 3432.25, 314.543, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 1248.93, 3746.79,                      3432.25, 314.543,
