ALT      VKNOT       OATF   GVW   CLP      HPTOT_T      HPMR_T     HPTR_T
      0.0      0.0    -60.0  46000.0      0.0   2506.6   1249.3    448.3
      0.0      0.0    -60.0  46000.0     10.0   3311.8   2125.4    411.8
      0.0      0.0    -60.0  46000.0     20.0   4117.1   3001.5    375.3
      0.0      0.0    -60.0  46000.0     30.0   4797.8   3892.7    290.2
      0.0      0.0    -60.0  46000.0     40.0   6657.0   5503.0    552.6
      0.0      0.0    -60.0  46000.0     50.0   8565.7   7182.9    753.2
      0.0      0.0    -60.0  46000.0     60.0  10701.7   9088.8    948.3
      0.0      0.0    -60.0  46000.0     70.0  13276.9  11371.8   1192.5
      0.0      0.0    -60.0  46000.0     80.0  16351.6  14036.9   1563.0
      0.0      0.0    -60.0  46000.0     90.0  20103.7  17149.9   2129.8
      0.0      0.0    -60.0  46000.0    100.0  24701.4  20780.7   3029.5
      0.0      0.0    -60.0  65500.0      0.0   -185.8  -1274.9    749.5
      0.0      0.0    -60.0  65500.0     10.0   1156.2    350.3    575.1
      0.0      0.0    -60.0  65500.0     20.0   2736.3   2069.2    382.7
      0.0      0.0    -60.0  65500.0     30.0   4700.5   3845.1    330.4
      0.0      0.0    -60.0  65500.0     40.0   6537.3   5565.6    339.1
      0.0      0.0    -60.0  65500.0     50.0   8977.5   7656.4    681.1
      0.0      0.0    -60.0  65500.0     60.0  11828.3  10006.2   1133.6
      0.0      0.0    -60.0  65500.0     70.0  14849.5  12616.9   1495.5
      0.0      0.0    -60.0  65500.0     80.0  18199.4  15539.5   1884.6
      0.0      0.0    -60.0  65500.0     90.0  22237.3  18872.0   2509.3
      0.0      0.0    -60.0  65500.0    100.0  27070.0  22661.0   3487.9
      0.0      0.0    -60.0  85000.0      0.0  -2580.9  -4190.7   1149.2
      0.0      0.0    -60.0  85000.0     10.0  -1407.5  -2203.5    873.2
      0.0      0.0    -60.0  85000.0     20.0   1352.5    388.1    563.7
      0.0      0.0    -60.0  85000.0     30.0   4112.4   2979.6    254.3
      0.0      0.0    -60.0  85000.0     40.0   6294.0   5319.1    221.7
      0.0      0.0    -60.0  85000.0     50.0   8475.6   7658.7    189.2
      0.0      0.0    -60.0  85000.0     60.0  12428.8  10539.9   1193.8
      0.0      0.0    -60.0  85000.0     70.0  16049.6  13509.0   1787.5
      0.0      0.0    -60.0  85000.0     80.0  19803.4  16687.8   2309.3
      0.0      0.0    -60.0  85000.0     90.0  24097.6  20274.2   2941.4
      0.0      0.0    -60.0  85000.0    100.0  29145.8  24234.2   3957.2
      0.0      0.0    -30.0  46000.0      0.0   1990.2    823.6    435.2
      0.0      0.0    -30.0  46000.0     10.0   2816.6   1790.9    372.0
      0.0      0.0    -30.0  46000.0     20.0   3643.0   2758.2    308.8
      0.0      0.0    -30.0  46000.0     30.0   4531.7   3717.9    269.8
      0.0      0.0    -30.0  46000.0     40.0   6301.8   5215.5    490.6
      0.0      0.0    -30.0  46000.0     50.0   8215.0   6872.1    718.3
      0.0      0.0    -30.0  46000.0     60.0  10303.1   8725.9    917.1
      0.0      0.0    -30.0  46000.0     70.0  12769.2  10915.8   1151.1
      0.0      0.0    -30.0  46000.0     80.0  15689.2  13458.1   1485.7
      0.0      0.0    -30.0  46000.0     90.0  19235.2  16418.6   2009.1
      0.0      0.0    -30.0  46000.0    100.0  23566.8  19860.2   2832.5
      0.0      0.0    -30.0  65500.0      0.0   -638.1  -1771.3    762.2
      0.0      0.0    -30.0  65500.0     10.0    644.0   -167.0    572.3
      0.0      0.0    -30.0  65500.0     20.0   2284.5   1585.0    395.1
      0.0      0.0    -30.0  65500.0     30.0   4212.2   3379.6    322.7
      0.0      0.0    -30.0  65500.0     40.0   6044.7   5132.7    295.8
      0.0      0.0    -30.0  65500.0     50.0   8504.6   7244.8    627.3
      0.0      0.0    -30.0  65500.0     60.0  11260.9   9538.2   1044.1
      0.0      0.0    -30.0  65500.0     70.0  14219.6  12066.6   1427.4
      0.0      0.0    -30.0  65500.0     80.0  17463.1  14881.6   1816.6
      0.0      0.0    -30.0  65500.0     90.0  21299.4  18073.1   2387.3
